Experiment,Colony,Location,Treatment,Temp,Sed,Chamber,Day,Time,rsq,mo2
1,3,NB,C,C,C,3,Day2,1,0.86,1.185887372
1,3,NB,C,C,C,3,Day2,2,0.895,1.375752309
1,3,NB,C,C,C,3,Day2,3,0.843,1.2045673
1,3,NB,C,C,C,3,Day2,4,0.874,1.37165771
1,3,NB,C,C,C,3,Day2,5,0.89,3.644249304
1,3,NB,C,C,C,3,Day2,6,0.808,0.644361657
1,3,NB,C,C,C,3,Day2,7,0.842,1.10156659
1,3,NB,C,C,C,3,Day2,8,0.874,1.234075751
1,3,NB,C,C,C,3,Day2,9,0.857,1.082487518
1,3,NB,C,C,C,3,Day2,10,0.89,1.279914002
1,3,NB,C,C,C,3,Day2,11,0.796,0.902410867
1,3,NB,C,C,C,3,Day2,12,0.9,1.182442582
1,3,NB,C,C,C,3,Day2,13,0.866,1.221573056
1,3,NB,C,C,C,3,Day2,14,0.828,1.101057576
1,3,NB,C,C,C,3,Day2,15,0.852,0.995314645
1,3,NB,C,C,C,3,Day2,16,0.849,1.087812873
1,3,NB,C,C,C,3,Day2,17,0.744,0.851203455
1,3,NB,C,C,C,3,Day2,18,0.798,1.028728739
1,3,NB,C,C,C,3,Day2,19,0.643,0.643292387
1,3,NB,C,C,C,3,Day2,20,0.859,1.131022273
1,3,NB,C,C,C,3,Day2,21,0.956,2.906956438
1,3,NB,C,C,C,3,Day2,22,0.917,2.40040562
1,3,NB,C,C,C,3,Day2,23,0.876,1.240295154
1,3,NB,C,C,C,3,Day2,24,0.866,1.292632814
1,3,NB,C,C,C,3,Day2,25,0.802,1.023184866
1,3,NB,C,C,C,3,Day2,26,0.834,1.177604001
1,3,NB,C,C,C,3,Day2,27,0.926,1.54427982
1,3,NB,C,C,C,3,Day2,28,0.911,1.871686394
1,3,NB,C,C,C,3,Day2,29,0.683,0.795395646
1,3,NB,C,C,C,3,Day2,30,0.824,1.025408247
1,3,NB,C,C,C,3,Day2,31,0.945,2.160856469
1,3,NB,C,C,C,3,Day2,32,0.888,1.283377778
1,3,NB,C,C,C,3,Day2,33,0.934,1.702604164
1,3,NB,C,C,C,3,Day2,34,0.948,1.825868192
1,3,NB,C,C,C,3,Day2,35,0.37,0.412097483
1,3,NB,C,C,C,3,Day2,36,0.763,0.865769334
1,3,NB,C,C,C,3,Day2,37,0.889,1.217245101
1,3,NB,C,C,C,3,Day2,38,0.621,0.682403113
1,3,NB,C,C,C,3,Day2,39,0.871,1.062276743
1,3,NB,C,C,C,3,Day2,40,0.66,0.598396246
1,3,NB,C,C,C,3,Day2,41,0.779,0.73515771
1,3,NB,C,C,C,3,Day2,42,0.234,0.231192861
1,3,NB,C,C,C,3,Day2,43,0.767,0.762889232
1,3,NB,C,C,C,3,Day2,44,0.726,0.762685107
1,3,NB,C,C,C,3,Day2,45,0.697,0.692609946
1,3,NB,C,C,C,3,Day2,46,0.69,0.663328914
1,3,NB,C,C,C,3,Day2,47,0.172,1.956464463
1,3,NB,C,C,C,3,Day2,48,0.879,0.993932197
