Experiment,Timepoint,Chamber,Treatment,Colony,Coral,Location,delta_FTA,Turbidity,Gnet,Gnet2,mo2_turb_avg,mo2_turb
3,7,1,C,3,4-Mar,NB,-0.4,1.71,-0.2591677,0.020733416,-0.598268537,-0.695900036
3,8,1,C,3,4-Mar,NB,-15.7,1.98,-10.17233221,0.813786576,-0.527632999,-0.521908548
3,9,1,C,3,4-Mar,NB,7.5,1.15,4.859394366,-0.388751549,-0.647919931,-0.646320064
3,10,1,C,3,4-Mar,NB,13,0.99,8.422950234,-0.673836019,-0.653293026,-0.654381316
3,11,1,C,3,4-Mar,NB,-8.5,1.34,-5.507313615,0.440585089,-0.535447339,-0.480329194
3,12,1,C,3,4-Mar,NB,-3.1,1.18,-2.008549671,0.160683974,-0.487090525,-0.45277092
3,13,1,C,3,4-Mar,NB,-2,1.23,-1.295838498,0.10366708,-0.581561312,-0.601904678
3,14,1,C,3,4-Mar,NB,-8.3,1.15,-5.377729765,0.430218381,-0.333821826,-0.351323989
3,15,1,C,3,4-Mar,NB,16.8,1.06,10.88504338,-0.87080347,-0.729605794,-0.737004633
3,16,1,C,3,4-Mar,NB,0.4,1.22,0.2591677,-0.020733416,-0.616172007,-0.654911862
3,17,1,C,3,4-Mar,NB,7.8,1.07,5.053770141,-0.404301611,-0.812224574,-0.833117699
3,18,1,C,3,4-Mar,NB,2.6,0.89,1.684590047,-0.134767204,-0.383859563,-0.388062081
3,19,1,C,3,4-Mar,NB,2.9,1.63,1.878965822,-0.150317266,-0.746597686,-0.794970262
3,20,1,C,3,4-Mar,NB,-15.8,2.08,-10.23712413,0.81896993,-0.807658066,-0.823377117
3,21,1,C,3,4-Mar,NB,-0.9,1.43,-0.583127324,0.046650186,-0.468184697,-0.474394914
3,22,1,C,3,4-Mar,NB,5.4,1.53,3.498763944,-0.279901115,-0.69159733,-0.687346501
3,23,1,C,3,4-Mar,NB,11.2,1.45,7.256695587,-0.580535647,-1.288905886,-1.269535348
3,24,1,C,3,4-Mar,NB,7.6,1.57,4.924186291,-0.393934903,-0.487235275,-0.939918474
4,1,1,C,2,8-Feb,NB,20.9,1.52,30.14784725,-2.41182778,-0.347837918,-0.541438727
4,2,1,C,2,8-Feb,NB,1.3,1.36,1.875224948,-0.150017996,-0.030559663,-0.097824431
4,3,1,C,2,8-Feb,NB,-0.5,3.46,-0.721240365,0.057699229,0.184327933,0.344804878
4,4,1,C,2,8-Feb,NB,-20.6,4.18,-29.71510303,2.377208242,0.55758192,0.352744459
4,5,1,C,2,8-Feb,NB,19.6,3.49,28.2726223,-2.261809784,0.15891872,0.020949922
4,6,1,C,2,8-Feb,NB,0,2.33,0,0,0.137972375,0.175596763
4,7,1,C,2,8-Feb,NB,0.5,2.53,0.721240365,-0.057699229,0.257240229,0.316542487
4,8,1,C,2,8-Feb,NB,1.7,2.57,2.45221724,-0.196177379,0.302992466,0.320862305
4,9,1,C,2,8-Feb,NB,6.8,1.92,9.80886896,-0.784709517,0.398842068,0.410383525
4,10,1,C,2,8-Feb,NB,-3.4,1.92,-4.90443448,0.392354758,0.528003095,0.694591661
4,11,1,C,2,8-Feb,NB,-0.8,1.84,-1.153984584,0.092318767,0.684413154,0.42168563
4,12,1,C,2,8-Feb,NB,7.1,1.57,10.24161318,-0.819329054,0.996665334,1.036369583
4,13,1,C,2,8-Feb,NB,11.5,1.96,16.58852839,-1.327082271,0.748703906,0.445671688
4,14,1,C,2,8-Feb,NB,-0.2,2.12,-0.288496146,0.023079692,0.798305877,1.105662691
4,15,1,C,2,8-Feb,NB,-1.4,1.52,-2.019473021,0.161557842,0.81417519,0.467339896
4,16,1,C,2,8-Feb,NB,-1.9,1.46,-2.740713386,0.219257071,0.797379704,1.126538813
4,17,1,C,2,8-Feb,NB,-6.1,1.39,-8.79913245,0.703930596,1.300570761,1.402695842
4,18,1,C,2,8-Feb,NB,-10.4,1.22,-15.00179959,1.200143967,1.094445648,0.89725306
4,19,1,C,2,8-Feb,NB,-9.3,0.74,-13.41507078,1.073205663,0.756132216,0.577255992
