Sample,Experiment,Timepoint,Chamber,Treatment,Colony,Coral,Location,delta_FTA,Chamber Volume (mL),Coral Dry Weight (g),Incubation Time (min),Gnet,Gnet2,Turbidity
G23S,3,24,3,HT,6,1-Jun,SB,5.4,450,15.8466,12,6555.507175,-8.740676233,
G1S,3,25,3,HT,6,1-Jun,SB,5,450,15.8466,12,6069.914051,-8.093218735,
Y1S,3,1,4,HX,6,6-Jun,SB,-5.7,450,10.5028,12,-10440.43017,13.92057356,
Y3S,3,2,4,HX,6,6-Jun,SB,-1,450,10.5028,12,-1831.654416,2.442205888,
Y5S,3,3,4,HX,6,6-Jun,SB,0.2,450,10.5028,12,366.3308832,-0.488441178,
Y7S,3,4,4,HX,6,6-Jun,SB,5.3,450,10.5028,12,9707.768405,-12.94369121,
Y9S,3,5,4,HX,6,6-Jun,SB,6,450,10.5028,12,10989.9265,-14.65323533,
Y11S,3,6,4,HX,6,6-Jun,SB,-3.1,450,10.5028,12,-5678.128689,7.570838253,
Y13S,3,7,4,HX,6,6-Jun,SB,-5.6,450,10.5028,12,-10257.26473,13.67635297,
Y15S,3,8,4,HX,6,6-Jun,SB,3.1,450,10.5028,12,5678.128689,-7.570838253,
Y17S,3,9,4,HX,6,6-Jun,SB,-3.4,450,10.5028,12,-6227.625014,8.303500019,
Y19S,3,10,4,HX,6,6-Jun,SB,-7.8,450,10.5028,12,-14286.90444,19.04920593,
Y21S,3,11,4,HX,6,6-Jun,SB,7.2,450,10.5028,12,13187.91179,-17.58388239,
Y23S,3,12,4,HX,6,6-Jun,SB,-5.4,450,10.5028,12,-9890.933846,13.18791179,
Y1S,3,13,4,HX,6,6-Jun,SB,20.5,450,10.5028,12,37548.91553,-50.0652207,
Y3S,3,14,4,HX,6,6-Jun,SB,-6.7,450,10.5028,12,-12272.08459,16.36277945,
Y5S,3,15,4,HX,6,6-Jun,SB,15.6,450,10.5028,12,28573.80889,-38.09841185,
Y7S,3,16,4,HX,6,6-Jun,SB,0.6,450,10.5028,12,1098.99265,-1.465323533,
Y9S,3,17,4,HX,6,6-Jun,SB,20.3,450,10.5028,12,37182.58464,-49.57677953,
Y11S,3,18,4,HX,6,6-Jun,SB,-1.3,450,10.5028,12,-2381.150741,3.174867654,
Y13S,3,19,4,HX,6,6-Jun,SB,-8.5,450,10.5028,12,-15569.06254,20.75875005,
Y15S,3,20,4,HX,6,6-Jun,SB,50.6,450,10.5028,12,92681.71345,-123.5756179,
Y17S,3,21,4,HX,6,6-Jun,SB,-7.7,450,10.5028,12,-14103.739,18.80498534,
Y19S,3,22,4,HX,6,6-Jun,SB,-22.1,450,10.5028,12,-40479.56259,53.97275012,
Y21S,3,23,4,HX,6,6-Jun,SB,-25.8,450,10.5028,12,-47256.68393,63.00891191,
Y23S,3,24,4,HX,6,6-Jun,SB,8.2,450,10.5028,12,15019.56621,-20.02608828,
Y1S,3,25,4,HX,6,6-Jun,SB,34.5,450,10.5028,12,63192.07735,-84.25610313,
W1S,4,1,1,C,2,8-Feb,NB,20.9,450,13.3364,12,30147.84725,-40.19712966,
W3S,4,2,1,C,2,8-Feb,NB,1.3,450,13.3364,12,1875.224948,-2.500299931,
W5S,4,3,1,C,2,8-Feb,NB,-0.5,450,13.3364,12,-721.2403647,0.96165382,
W7S,4,4,1,C,2,8-Feb,NB,-20.6,450,13.3364,12,-29715.10303,39.62013737,
W9S,4,5,1,C,2,8-Feb,NB,19.6,450,13.3364,12,28272.6223,-37.69682973,
W11S,4,6,1,C,2,8-Feb,NB,0,450,13.3364,12,0,0,
W13S,4,7,1,C,2,8-Feb,NB,0.5,450,13.3364,12,721.2403647,-0.96165382,
W15S,4,8,1,C,2,8-Feb,NB,1.7,450,13.3364,12,2452.21724,-3.269622987,
W17S,4,9,1,C,2,8-Feb,NB,6.8,450,13.3364,12,9808.86896,-13.07849195,
W19S,4,10,1,C,2,8-Feb,NB,-3.4,450,13.3364,12,-4904.43448,6.539245973,
W21S,4,11,1,C,2,8-Feb,NB,-0.8,450,13.3364,12,-1153.984584,1.538646111,
W23S,4,12,1,C,2,8-Feb,NB,7.1,450,13.3364,12,10241.61318,-13.65548424,
W1S,4,13,1,C,2,8-Feb,NB,11.5,450,13.3364,12,16588.52839,-22.11803785,
W3S,4,14,1,C,2,8-Feb,NB,-0.2,450,13.3364,12,-288.4961459,0.384661528,
W5S,4,15,1,C,2,8-Feb,NB,-1.4,450,13.3364,12,-2019.473021,2.692630695,
W7S,4,16,1,C,2,8-Feb,NB,-1.9,450,13.3364,12,-2740.713386,3.654284515,
W9S,4,17,1,C,2,8-Feb,NB,-6.1,450,13.3364,12,-8799.13245,11.7321766,
W11S,4,18,1,C,2,8-Feb,NB,-10.4,450,13.3364,12,-15001.79959,20.00239945,
W13S,4,19,1,C,2,8-Feb,NB,-9.3,450,13.3364,12,-13415.07078,17.88676104,
W15S,4,20,1,C,2,8-Feb,NB,-3.5,450,13.3364,12,-5048.682553,6.731576737,
W17S,4,21,1,C,2,8-Feb,NB,-2.8,450,13.3364,12,-4038.946042,5.38526139,
W19S,4,22,1,C,2,8-Feb,NB,4,450,13.3364,12,5769.922918,-7.693230557,
W21S,4,23,1,C,2,8-Feb,NB,-15.8,450,13.3364,12,-22791.19553,30.3882607,
W1S,4,25,1,C,2,8-Feb,NB,-6.4,450,13.3364,12,-9231.876668,12.30916889,
R1S,4,1,2,HS,2,9-Feb,NB,0.2,450,18.2182,12,211.189909,-0.281586545,
R3S,4,2,2,HS,2,9-Feb,NB,18.7,450,18.2182,12,19746.25649,-26.32834199,
R5S,4,3,2,HS,2,9-Feb,NB,-4.9,450,18.2182,12,-5174.15277,6.89887036,
R7S,4,4,2,HS,2,9-Feb,NB,-4.1,450,18.2182,12,-4329.393134,5.772524179,
R9S,4,5,2,HS,2,9-Feb,NB,5.1,450,18.2182,12,5385.342679,-7.180456906,
R11S,4,6,2,HS,2,9-Feb,NB,-35.5,450,18.2182,12,-37486.20885,49.98161179,
R13S,4,7,2,HS,2,9-Feb,NB,-34.7,450,18.2182,12,-36641.44921,48.85526561,
R15S,4,8,2,HS,2,9-Feb,NB,6.6,450,18.2182,12,6969.266997,-9.292355996,
R17S,4,9,2,HS,2,9-Feb,NB,-5.4,450,18.2182,12,-5702.127543,7.602836724,
R19S,4,10,2,HS,2,9-Feb,NB,1.4,450,18.2182,12,1478.329363,-1.971105817,
R21S,4,11,2,HS,2,9-Feb,NB,8.8,450,18.2182,12,9292.355996,-12.38980799,
R23S,4,12,2,HS,2,9-Feb,NB,-5.5,450,18.2182,12,-5807.722497,7.743629996,
R1S,4,13,2,HS,2,9-Feb,NB,13.9,450,18.2182,12,14677.69867,-19.5702649,
R3S,4,14,2,HS,2,9-Feb,NB,-34.8,450,18.2182,12,-36747.04416,48.99605889,
R5S,4,15,2,HS,2,9-Feb,NB,-8,450,18.2182,12,-8447.59636,11.26346181,
R7S,4,16,2,HS,2,9-Feb,NB,-1.7,450,18.2182,12,-1795.114226,2.393485635,
R9S,4,17,2,HS,2,9-Feb,NB,-41.6,450,18.2182,12,-43927.50107,58.57000143,
R11S,4,18,2,HS,2,9-Feb,NB,29.3,450,18.2182,12,30939.32167,-41.25242889,
R13S,4,19,2,HS,2,9-Feb,NB,-35,450,18.2182,12,-36958.23407,49.27764543,
R15S,4,20,2,HS,2,9-Feb,NB,-0.4,450,18.2182,12,-422.379818,0.563173091,
R17S,4,21,2,HS,2,9-Feb,NB,-3.5,450,18.2182,12,-3695.823407,4.927764543,
R19S,4,22,2,HS,2,9-Feb,NB,-4.2,450,18.2182,12,-4434.988089,5.913317452,
R21S,4,23,2,HS,2,9-Feb,NB,-1.7,450,18.2182,12,-1795.114226,2.393485635,
R1S,4,25,2,HS,2,9-Feb,NB,0.9,450,18.2182,12,950.3545905,-1.267139454,
Y1S,4,1,4,HX,7,7-Jul,SB,4,450,12.2584,12,6277.328199,-8.369770933,
Y3S,4,2,4,HX,7,7-Jul,SB,9.7,450,12.2584,12,15222.52088,-20.29669451,
Y5S,4,3,4,HX,7,7-Jul,SB,6.8,450,12.2584,12,10671.45794,-14.22861059,
Y7S,4,4,4,HX,7,7-Jul,SB,1.3,450,12.2584,12,2040.131665,-2.720175553,
Y9S,4,5,4,HX,7,7-Jul,SB,5.7,450,12.2584,12,8945.192684,-11.92692358,
Y11S,4,6,4,HX,7,7-Jul,SB,-40.1,450,12.2584,12,-62930.2152,83.9069536,
Y13S,4,7,4,HX,7,7-Jul,SB,2.1,450,12.2584,12,3295.597305,-4.39412974,
Y15S,4,8,4,HX,7,7-Jul,SB,-4.3,450,12.2584,12,-6748.127814,8.997503753,
Y17S,4,9,4,HX,7,7-Jul,SB,5,450,12.2584,12,7846.660249,-10.46221367,
Y19S,4,10,4,HX,7,7-Jul,SB,9.2,450,12.2584,12,14437.85486,-19.25047314,
Y21S,4,11,4,HX,7,7-Jul,SB,26.4,450,12.2584,12,41430.36612,-55.24048816,
Y23S,4,12,4,HX,7,7-Jul,SB,-1.6,450,12.2584,12,-2510.93128,3.347908373,
Y1S,4,13,4,HX,7,7-Jul,SB,0.1,450,12.2584,12,156.933205,-0.209244273,
Y3S,4,14,4,HX,7,7-Jul,SB,1.9,450,12.2584,12,2981.730895,-3.975641193,
Y5S,4,15,4,HX,7,7-Jul,SB,-8,450,12.2584,12,-12554.6564,16.73954187,
Y7S,4,16,4,HX,7,7-Jul,SB,-0.1,450,12.2584,12,-156.933205,0.209244273,
Y9S,4,17,4,HX,7,7-Jul,SB,-18.9,450,12.2584,12,-29660.37574,39.54716766,
Y11S,4,18,4,HX,7,7-Jul,SB,0.1,450,12.2584,12,156.933205,-0.209244273,
Y13S,4,19,4,HX,7,7-Jul,SB,-3.5,450,12.2584,12,-5492.662175,7.323549566,
Y15S,4,20,4,HX,7,7-Jul,SB,-28.7,450,12.2584,12,-45039.82983,60.05310644,
Y17S,4,21,4,HX,7,7-Jul,SB,-0.2,450,12.2584,12,-313.86641,0.418488547,
Y19S,4,22,4,HX,7,7-Jul,SB,11.4,450,12.2584,12,17890.38537,-23.85384716,
Y21S,4,23,4,HX,7,7-Jul,SB,0.1,450,12.2584,12,156.933205,-0.209244273,
Y1S,4,25,4,HX,7,7-Jul,SB,-7,450,12.2584,12,-10985.32435,14.64709913,
G1S,4,1,3,HT,7,9-Jul,SB,0.6,450,14.2758,12,808.5361241,-1.078048165,
G3S,4,2,3,HT,7,9-Jul,SB,-6.9,450,14.2758,12,-9298.165427,12.3975539,
G5S,4,3,3,HT,7,9-Jul,SB,-1.2,450,14.2758,12,-1617.072248,2.156096331,
G7S,4,4,3,HT,7,9-Jul,SB,2.2,450,14.2758,12,2964.632455,-3.952843273,
G9S,4,5,3,HT,7,9-Jul,SB,36.9,450,14.2758,12,49724.97163,-66.29996217,
G11S,4,6,3,HT,7,9-Jul,SB,0,450,14.2758,12,0,0,
G13S,4,7,3,HT,7,9-Jul,SB,-11.1,450,14.2758,12,-14957.9183,19.94389106,
G15S,4,8,3,HT,7,9-Jul,SB,10.8,450,14.2758,12,14553.65023,-19.40486698,
G17S,4,9,3,HT,7,9-Jul,SB,-3.8,450,14.2758,12,-5120.728786,6.827638381,
G19S,4,10,3,HT,7,9-Jul,SB,3.1,450,14.2758,12,4177.436641,-5.569915521,
G21S,4,11,3,HT,7,9-Jul,SB,3.1,450,14.2758,12,4177.436641,-5.569915521,
G23S,4,12,3,HT,7,9-Jul,SB,6.4,450,14.2758,12,8624.385323,-11.49918043,
G1S,4,13,3,HT,7,9-Jul,SB,0.1,450,14.2758,12,134.7560207,-0.179674694,
G3S,4,14,3,HT,7,9-Jul,SB,6.4,450,14.2758,12,8624.385323,-11.49918043,
G5S,4,15,3,HT,7,9-Jul,SB,-18,450,14.2758,12,-24256.08372,32.34144496,
G7S,4,16,3,HT,7,9-Jul,SB,-15.3,450,14.2758,12,-20617.67116,27.49022822,
G9S,4,17,3,HT,7,9-Jul,SB,-3.8,450,14.2758,12,-5120.728786,6.827638381,
G11S,4,18,3,HT,7,9-Jul,SB,2.2,450,14.2758,12,2964.632455,-3.952843273,
G13S,4,19,3,HT,7,9-Jul,SB,9.9,450,14.2758,12,13340.84605,-17.78779473,
G15S,4,20,3,HT,7,9-Jul,SB,-20,450,14.2758,12,-26951.20414,35.93493885,
G17S,4,21,3,HT,7,9-Jul,SB,-0.4,450,14.2758,12,-539.0240827,0.718698777,
G19S,4,22,3,HT,7,9-Jul,SB,-7.4,450,14.2758,12,-9971.94553,13.29592737,
G21S,4,23,3,HT,7,9-Jul,SB,-9.8,450,14.2758,12,-13206.09003,17.60812004,
G1S,4,25,3,HT,7,9-Jul,SB,2.3,450,14.2758,12,3099.388476,-4.132517967,
R1S,5,1,2,HS,1,1-Jan,NB,40.7,450,13.3056,12,58844.86607,-78.45982143,
R3S,5,2,2,HS,1,1-Jan,NB,12.1,450,13.3056,12,17494.41964,-23.32589286,
R5S,5,3,2,HS,1,1-Jan,NB,4.2,450,13.3056,12,6072.443182,-8.096590909,
R7S,5,4,2,HS,1,1-Jan,NB,-4.6,450,13.3056,12,-6650.771104,8.867694805,
R9S,5,5,2,HS,1,1-Jan,NB,10.7,450,13.3056,12,15470.27192,-20.62702922,
R11S,5,6,2,HS,1,1-Jan,NB,-6.5,450,13.3056,12,-9397.828734,12.53043831,
R13S,5,7,2,HS,1,1-Jan,NB,-2.7,450,13.3056,12,-3903.713474,5.204951299,
R15S,5,8,2,HS,1,1-Jan,NB,-19.1,450,13.3056,12,-27615.15828,36.82021104,
R17S,5,9,2,HS,1,1-Jan,NB,2.9,450,13.3056,12,4192.877435,-5.590503247,
R19S,5,10,2,HS,1,1-Jan,NB,-35,450,13.3056,12,-50603.69318,67.47159091,
R21S,5,11,2,HS,1,1-Jan,NB,6.1,450,13.3056,12,8819.500812,-11.75933442,
R23S,5,12,2,HS,1,1-Jan,NB,16.9,450,13.3056,12,24434.35471,-32.57913961,
R1S,5,13,2,HS,1,1-Jan,NB,7,450,13.3056,12,10120.73864,-13.49431818,
R3S,5,14,2,HS,1,1-Jan,NB,-15.6,450,13.3056,12,-22554.78896,30.07305195,
R5S,5,15,2,HS,1,1-Jan,NB,0.3,450,13.3056,12,433.7459416,-0.578327922,
R7S,5,16,2,HS,1,1-Jan,NB,-2.2,450,13.3056,12,-3180.803571,4.241071429,
R9S,5,17,2,HS,1,1-Jan,NB,-4.6,450,13.3056,12,-6650.771104,8.867694805,
R11S,5,18,2,HS,1,1-Jan,NB,4.8,450,13.3056,12,6939.935065,-9.253246753,
R13S,5,19,2,HS,1,1-Jan,NB,21.9,450,13.3056,12,31663.45373,-42.21793831,
R15S,5,20,2,HS,1,1-Jan,NB,-0.1,450,13.3056,12,-144.5819805,0.192775974,
R17S,5,21,2,HS,1,1-Jan,NB,-3.8,450,13.3056,12,-5494.11526,7.325487013,
R19S,5,22,2,HS,1,1-Jan,NB,29.7,450,13.3056,12,42940.84821,-57.25446429,
R21S,5,23,2,HS,1,1-Jan,NB,0.4,450,13.3056,12,578.3279221,-0.771103896,
R23S,5,24,2,HS,1,1-Jan,NB,-43.5,450,13.3056,12,-62893.16153,83.8575487,
R1S,5,25,2,HS,1,1-Jan,NB,31.5,450,13.3056,12,45543.32386,-60.72443182,
W1S,5,1,1,C,1,2-Jan,NB,-6.9,450,19.5272,12,-6797.633557,9.06351141,
W3S,5,2,1,C,1,2-Jan,NB,2.3,450,19.5272,12,2265.877852,-3.02117047,
W5S,5,3,1,C,1,2-Jan,NB,-0.5,450,19.5272,12,-492.5821418,0.656776189,
W7S,5,4,1,C,1,2-Jan,NB,-9.7,450,19.5272,12,-9556.093552,12.74145807,
W9S,5,5,1,C,1,2-Jan,NB,3.2,450,19.5272,12,3152.525708,-4.20336761,
W11S,5,6,1,C,1,2-Jan,NB,1.3,450,19.5272,12,1280.713569,-1.707618092,
W13S,5,7,1,C,1,2-Jan,NB,-5.5,450,19.5272,12,-5418.40356,7.22453808,
W15S,5,8,1,C,1,2-Jan,NB,-7.1,450,19.5272,12,-6994.666414,9.326221885,
W17S,5,9,1,C,1,2-Jan,NB,-0.8,450,19.5272,12,-788.1314269,1.050841903,
W19S,5,10,1,C,1,2-Jan,NB,9,450,19.5272,12,8866.478553,-11.8219714,
W21S,5,11,1,C,1,2-Jan,NB,52.1,450,19.5272,12,51327.05918,-68.43607891,
W23S,5,12,1,C,1,2-Jan,NB,10.3,450,19.5272,12,10147.19212,-13.5295895,
W1S,5,13,1,C,1,2-Jan,NB,-4.4,450,19.5272,12,-4334.722848,5.779630464,
W3S,5,14,1,C,1,2-Jan,NB,1.6,450,19.5272,12,1576.262854,-2.101683805,
W5S,5,15,1,C,1,2-Jan,NB,1.5,450,19.5272,12,1477.746425,-1.970328567,
W7S,5,16,1,C,1,2-Jan,NB,4.1,450,19.5272,12,4039.173563,-5.385564751,
W9S,5,17,1,C,1,2-Jan,NB,-9.9,450,19.5272,12,-9753.126408,13.00416854,
W11S,5,18,1,C,1,2-Jan,NB,-0.1,450,19.5272,12,-98.51642837,0.131355238,
W13S,5,19,1,C,1,2-Jan,NB,0.7,450,19.5272,12,689.6149986,-0.919486665,
W15S,5,20,1,C,1,2-Jan,NB,-8.2,450,19.5272,12,-8078.347126,10.7711295,
W17S,5,21,1,C,1,2-Jan,NB,4.8,450,19.5272,12,4728.788562,-6.305051415,
W19S,5,22,1,C,1,2-Jan,NB,2.1,450,19.5272,12,2068.844996,-2.758459994,
W21S,5,23,1,C,1,2-Jan,NB,-8.8,450,19.5272,12,-8669.445696,11.55926093,
W23S,5,24,1,C,1,2-Jan,NB,-6.9,450,19.5272,12,-6797.633557,9.06351141,
W1S,5,25,1,C,1,2-Jan,NB,-0.3,450,19.5272,12,-295.5492851,0.394065713,
G1S,5,1,3,HT,5,4-May,SB,6.2,450,20.4666,12,5827.665562,-7.77022075,
G3S,5,2,3,HT,5,4-May,SB,-1.2,450,20.4666,12,-1127.93527,1.503913694,
G5S,5,3,3,HT,5,4-May,SB,3.9,450,20.4666,12,3665.789628,-4.887719504,
G7S,5,4,3,HT,5,4-May,SB,-7.3,450,20.4666,12,-6861.606227,9.148808302,
G9S,5,5,3,HT,5,4-May,SB,-4.3,450,20.4666,12,-4041.768051,5.389024068,
G11S,5,6,3,HT,5,4-May,SB,-4.4,450,20.4666,12,-4135.762657,5.51435021,
G13S,5,7,3,HT,5,4-May,SB,6,450,20.4666,12,5639.676351,-7.519568468,
G15S,5,8,3,HT,5,4-May,SB,-5.7,450,20.4666,12,-5357.692533,7.143590044,
G17S,5,9,3,HT,5,4-May,SB,3.9,450,20.4666,12,3665.789628,-4.887719504,
G19S,5,10,3,HT,5,4-May,SB,-2.3,450,20.4666,12,-2161.875934,2.882501246,
G21S,5,11,3,HT,5,4-May,SB,-2.7,450,20.4666,12,-2537.854358,3.38380581,
G23S,5,12,3,HT,5,4-May,SB,-2.9,450,20.4666,12,-2725.84357,3.634458093,
G1S,5,13,3,HT,5,4-May,SB,-8.5,450,20.4666,12,-7989.541497,10.652722,
G3S,5,14,3,HT,5,4-May,SB,-12.1,450,20.4666,12,-11373.34731,15.16446308,
G5S,5,15,3,HT,5,4-May,SB,-3.6,450,20.4666,12,-3383.80581,4.511741081,
G7S,5,16,3,HT,5,4-May,SB,-14.9,450,20.4666,12,-14005.19627,18.67359503,
G9S,5,17,3,HT,5,4-May,SB,-1.3,450,20.4666,12,-1221.929876,1.629239835,
G11S,5,18,3,HT,5,4-May,SB,-0.1,450,20.4666,12,-93.99460585,0.125326141,
G13S,5,19,3,HT,5,4-May,SB,9.9,450,20.4666,12,9305.465979,-12.40728797,
G15S,5,20,3,HT,5,4-May,SB,-2.2,450,20.4666,12,-2067.881329,2.757175105,
G17S,5,21,3,HT,5,4-May,SB,2.1,450,20.4666,12,1973.886723,-2.631848964,
G19S,5,22,3,HT,5,4-May,SB,-10.5,450,20.4666,12,-9869.433614,13.15924482,
G21S,5,23,3,HT,5,4-May,SB,1.2,450,20.4666,12,1127.93527,-1.503913694,
G23S,5,24,3,HT,5,4-May,SB,-7,450,20.4666,12,-6579.622409,8.772829879,
G1S,5,25,3,HT,5,4-May,SB,-3.7,450,20.4666,12,-3477.800416,4.637067222,
Y1S,5,1,4,HX,5,7-May,SB,64.2,450,13.3364,12,92607.26283,-123.4763504,
Y3S,5,2,4,HX,5,7-May,SB,-2.3,450,13.3364,12,-3317.705678,4.42360757,
Y5S,5,3,4,HX,5,7-May,SB,1.2,450,13.3364,12,1730.976875,-2.307969167,
Y7S,5,4,4,HX,5,7-May,SB,-3,450,13.3364,12,-4327.442188,5.769922918,
Y9S,5,5,4,HX,5,7-May,SB,-1.3,450,13.3364,12,-1875.224948,2.500299931,
Y11S,5,6,4,HX,5,7-May,SB,7.9,450,13.3364,12,11395.59776,-15.19413035,
Y13S,5,7,4,HX,5,7-May,SB,-0.4,450,13.3364,12,-576.9922918,0.769323056,
Y15S,5,8,4,HX,5,7-May,SB,-17.3,450,13.3364,12,-24954.91662,33.27322216,
Y17S,5,9,4,HX,5,7-May,SB,-2.4,450,13.3364,12,-3461.953751,4.615938334,
Y19S,5,10,4,HX,5,7-May,SB,-9,450,13.3364,12,-12982.32656,17.30976875,
Y21S,5,11,4,HX,5,7-May,SB,13,450,13.3364,12,18752.24948,-25.00299931,
Y23S,5,12,4,HX,5,7-May,SB,5.6,450,13.3364,12,8077.892085,-10.77052278,
Y1S,5,13,4,HX,5,7-May,SB,1.3,450,13.3364,12,1875.224948,-2.500299931,
Y3S,5,14,4,HX,5,7-May,SB,-5.1,450,13.3364,12,-7356.65172,9.80886896,
Y5S,5,15,4,HX,5,7-May,SB,-4.7,450,13.3364,12,-6779.659428,9.039545904,
Y7S,5,16,4,HX,5,7-May,SB,-0.8,450,13.3364,12,-1153.984584,1.538646111,
Y9S,5,17,4,HX,5,7-May,SB,-3.4,450,13.3364,12,-4904.43448,6.539245973,
Y11S,5,18,4,HX,5,7-May,SB,1,450,13.3364,12,1442.480729,-1.923307639,
Y13S,5,19,4,HX,5,7-May,SB,8.3,450,13.3364,12,11972.59005,-15.96345341,
Y15S,5,20,4,HX,5,7-May,SB,-3.3,450,13.3364,12,-4760.186407,6.34691521,
Y17S,5,21,4,HX,5,7-May,SB,2.8,450,13.3364,12,4038.946042,-5.38526139,
Y19S,5,22,4,HX,5,7-May,SB,4.3,450,13.3364,12,6202.667137,-8.270222849,
Y21S,5,23,4,HX,5,7-May,SB,-2.2,450,13.3364,12,-3173.457605,4.231276806,
Y23S,5,24,4,HX,5,7-May,SB,-4.4,450,13.3364,12,-6346.91521,8.462553613,
Y1S,5,25,4,HX,5,7-May,SB,6.7,450,13.3364,12,9664.620887,-12.88616118,
W1S,6,1,1,C,4,5-Apr,NB,-4.5,450,20.8978,12,-4142.481505,5.523308674,
W3S,6,2,1,C,4,5-Apr,NB,-3.3,450,20.8978,12,-3037.819771,4.050426361,
W5S,6,3,1,C,4,5-Apr,NB,-15.5,450,20.8978,12,-14268.54741,19.02472988,
W7S,6,4,1,C,4,5-Apr,NB,-7.1,450,20.8978,12,-6535.915264,8.714553685,
W9S,6,5,1,C,4,5-Apr,NB,-4.2,450,20.8978,12,-3866.316072,5.155088095,
W11S,6,6,1,C,4,5-Apr,NB,-10.6,450,20.8978,12,-9757.845323,13.01046043,
W13S,6,7,1,C,4,5-Apr,NB,-7.4,450,20.8978,12,-6812.080697,9.082774263,
W15S,6,8,1,C,4,5-Apr,NB,-10.8,450,20.8978,12,-9941.955613,13.25594082,
W17S,6,9,1,C,4,5-Apr,NB,-10.8,450,20.8978,12,-9941.955613,13.25594082,
W19S,6,10,1,C,4,5-Apr,NB,-0.9,450,20.8978,12,-828.496301,1.104661735,
W21S,6,11,1,C,4,5-Apr,NB,-3.2,450,20.8978,12,-2945.764626,3.927686168,
W23S,6,12,1,C,4,5-Apr,NB,2.6,450,20.8978,12,2393.433759,-3.191245011,
W1S,6,13,1,C,4,5-Apr,NB,-2.3,450,20.8978,12,-2117.268325,2.823024433,
W3S,6,14,1,C,4,5-Apr,NB,3.7,450,20.8978,12,3406.040349,-4.541387132,
W5S,6,15,1,C,4,5-Apr,NB,-4.4,450,20.8978,12,-4050.426361,5.400568481,
W7S,6,16,1,C,4,5-Apr,NB,-2.9,450,20.8978,12,-2669.599192,3.55946559,
W9S,6,17,1,C,4,5-Apr,NB,-0.8,450,20.8978,12,-736.4411565,0.981921542,
W11S,6,18,1,C,4,5-Apr,NB,-4.8,450,20.8978,12,-4418.646939,5.891529252,
W13S,6,19,1,C,4,5-Apr,NB,-4.8,450,20.8978,12,-4418.646939,5.891529252,
W15S,6,20,1,C,4,5-Apr,NB,1.2,450,20.8978,12,1104.661735,-1.472882313,
W17S,6,21,1,C,4,5-Apr,NB,2.3,450,20.8978,12,2117.268325,-2.823024433,
W19S,6,22,1,C,4,5-Apr,NB,0.3,450,20.8978,12,276.1654337,-0.368220578,
W21S,6,23,1,C,4,5-Apr,NB,-2.8,450,20.8978,12,-2577.544048,3.436725397,
W23S,6,24,1,C,4,5-Apr,NB,-1.4,450,20.8978,12,-1288.772024,1.718362698,
W1S,6,25,1,C,4,5-Apr,NB,0.2,450,20.8978,12,184.1102891,-0.245480385,
R1S,6,1,2,HS,4,7-Apr,NB,6.8,450,16.6936,12,7836.236642,-10.44831552,
R3S,6,2,2,HS,4,7-Apr,NB,-13.7,450,16.6936,12,-15787.71206,21.05028274,
R5S,6,3,2,HS,4,7-Apr,NB,0.7,450,16.6936,12,806.671419,-1.075561892,
R7S,6,4,2,HS,4,7-Apr,NB,3.4,450,16.6936,12,3918.118321,-5.224157761,
R9S,6,5,2,HS,4,7-Apr,NB,1.4,450,16.6936,12,1613.342838,-2.151123784,
R11S,6,6,2,HS,4,7-Apr,NB,5.6,450,16.6936,12,6453.371352,-8.604495136,
R13S,6,7,2,HS,4,7-Apr,NB,2.8,450,16.6936,12,3226.685676,-4.302247568,
R15S,6,8,2,HS,4,7-Apr,NB,-11.1,450,16.6936,12,-12791.50393,17.05533857,
R17S,6,9,2,HS,4,7-Apr,NB,2.9,450,16.6936,12,3341.92445,-4.455899267,
R19S,6,10,2,HS,4,7-Apr,NB,2.7,450,16.6936,12,3111.446902,-4.148595869,
R21S,6,11,2,HS,4,7-Apr,NB,5.9,450,16.6936,12,6799.087674,-9.065450232,
R23S,6,12,2,HS,4,7-Apr,NB,-1.2,450,16.6936,12,-1382.86529,1.843820386,
R1S,6,13,2,HS,4,7-Apr,NB,-2.9,450,16.6936,12,-3341.92445,4.455899267,
R3S,6,14,2,HS,4,7-Apr,NB,0.1,450,16.6936,12,115.2387741,-0.153651699,
R5S,6,15,2,HS,4,7-Apr,NB,6.1,450,16.6936,12,7029.565223,-9.37275363,
R7S,6,16,2,HS,4,7-Apr,NB,7.3,450,16.6936,12,8412.430512,-11.21657402,
R9S,6,17,2,HS,4,7-Apr,NB,1,450,16.6936,12,1152.387741,-1.536516989,
R11S,6,18,2,HS,4,7-Apr,NB,-0.8,450,16.6936,12,-921.9101931,1.229213591,
R13S,6,19,2,HS,4,7-Apr,NB,11.1,450,16.6936,12,12791.50393,-17.05533857,
R15S,6,20,2,HS,4,7-Apr,NB,-0.3,450,16.6936,12,-345.7163224,0.460955097,
R17S,6,21,2,HS,4,7-Apr,NB,-5,450,16.6936,12,-5761.938707,7.682584943,
R19S,6,22,2,HS,4,7-Apr,NB,15.9,450,16.6936,12,18322.96509,-24.43062012,
R21S,6,23,2,HS,4,7-Apr,NB,-1.8,450,16.6936,12,-2074.297935,2.765730579,
R23S,6,24,2,HS,4,7-Apr,NB,-1.8,450,16.6936,12,-2074.297935,2.765730579,
R1S,6,25,2,HS,4,7-Apr,NB,2.1,450,16.6936,12,2420.014257,-3.226685676,
