timepoint,mean_temp,se_temp,experiment,chamber
exposure-light,27.064627504110796,0.0004553690352145801,experiment 1 ch2,Chamber 2
post-dark,27.201973747569223,0.00018252831501758816,experiment 1 ch2,Chamber 2
pre-dark,27.096861022364216,0.00017833207972698157,experiment 1 ch2,Chamber 2
pre-light,27.016562999434985,0.00042774683350711474,experiment 1 ch2,Chamber 2
exposure-light,27.141291377234417,0.00020355461463961757,experiment 2 2,Chamber 2
post-dark,27.151867384259262,0.00038051367974476944,experiment 2 2,Chamber 2
pre-dark,27.136354961920414,0.00024069901860452635,experiment 2 2,Chamber 2
pre-light,26.716106921626718,0.00808192780372803,experiment 2 2,Chamber 2
exposure-light,27.075739068033982,0.00019670947017069328,experiment 3 2,Chamber 2
post-dark,27.09945327438135,0.00010466007376233889,experiment 3 2,Chamber 2
pre-dark,27.131944373712354,0.00010954554980342328,experiment 3 2,Chamber 2
pre-light,27.08411699326156,0.00040291249377426346,experiment 3 2,Chamber 2
exposure-light,27.583242265532665,0.0018924009322455419,experiment 4 2,Chamber 2
post-dark,26.21709468707229,0.003547572456988803,experiment 4 2,Chamber 2
pre-dark,28.024777154772938,0.0006461485739509188,experiment 4 2,Chamber 2
pre-light,27.82474737105658,0.001201722973407785,experiment 4 2,Chamber 2
exposure-light,27.084047346730873,0.00013027718816864845,experiment 5 2,Chamber 2
post-dark,27.06355743055556,0.0001018022954644651,experiment 5 2,Chamber 2
pre-dark,27.075717847222222,0.0001320075925950328,experiment 5 2,Chamber 2
pre-light,27.07232968437194,0.0005551867661952704,experiment 5 2,Chamber 2
exposure-light,26.877027175925928,0.001500851901887253,experiment 6 2,Chamber 2
post-dark,25.73983236111111,0.0012276769889870173,experiment 6 2,Chamber 2
pre-dark,27.04292925925926,9.843419617897945e-05,experiment 6 2,Chamber 2
pre-light,27.037442891859055,0.00029930467141414387,experiment 6 2,Chamber 2
exposure-light,27.05824475621614,0.0001762991874326231,experiment 7 2,Chamber 2
post-dark,25.959179143518522,0.0016470981838944247,experiment 7 2,Chamber 2
pre-dark,27.099713425925923,0.0001329839941041391,experiment 7 2,Chamber 2
pre-light,27.10759131929523,0.0002354289441200309,experiment 7 2,Chamber 2
exposure-light,27.36109556337702,0.0019328512456152365,experiment 8 2,Chamber 2
post-dark,25.94093784722222,0.0017180884874091191,experiment 8 2,Chamber 2
pre-dark,27.080989675925924,0.00011084084157190304,experiment 8 2,Chamber 2
pre-light,27.090762242485646,0.00015012695433547902,experiment 8 2,Chamber 2
exposure-light,27.002187939814817,0.0029584785164074277,experiment 9 2,Chamber 2
post-dark,27.02502761574074,0.00010058413795391184,experiment 9 2,Chamber 2
pre-dark,27.08714583333333,0.00012335452587499538,experiment 9 2,Chamber 2
pre-light,27.0704293139856,0.00039746957967131996,experiment 9 2,Chamber 2
exposure-light,27.05719365740741,0.00017049661254623288,experiment 10 2,Chamber 2
post-dark,25.926780185185187,0.0018982006174138907,experiment 10 2,Chamber 2
pre-dark,27.076210972222224,0.00011148163071248223,experiment 10 2,Chamber 2
pre-light,27.08061821374116,0.000183558758247182,experiment 10 2,Chamber 2
exposure-light,27.042990808695855,0.00020985072287630415,experiment 11 2,Chamber 2
post-dark,26.022316689814815,0.0015672843299221137,experiment 11 2,Chamber 2
pre-dark,27.065682754629627,0.0001109743158040093,experiment 11 2,Chamber 2
pre-light,27.11073323323323,0.0014176970224364517,experiment 11 2,Chamber 2
exposure-light,27.046593078703705,0.00021608840673240928,experiment 12 2,Chamber 2
post-dark,26.028727337962962,0.0018230310731325724,experiment 12 2,Chamber 2
pre-dark,27.056364791666667,0.00010719131012878924,experiment 12 2,Chamber 2
pre-light,27.057645729585005,0.000351592226132369,experiment 12 2,Chamber 2
exposure-light,26.94925190397926,0.000503180424044907,experiment 13 2,Chamber 2
post-dark,25.956669259259257,0.0015567031109418993,experiment 13 2,Chamber 2
pre-dark,26.99002886574074,0.00010269041520361854,experiment 13 2,Chamber 2
pre-light,27.118623296604454,0.005183253122286987,experiment 13 2,Chamber 2
exposure-light,26.924755086923305,0.00018472014656720386,experiment 14 2,Chamber 2
post-dark,26.041966111111112,0.0017283131734022973,experiment 14 2,Chamber 2
pre-dark,26.918875393518515,9.619510351050794e-05,experiment 14 2,Chamber 2
pre-light,26.93054483406899,0.00042742212894509993,experiment 14 2,Chamber 2
exposure-light,26.865170138888892,0.0029344136285952413,experiment 15 2,Chamber 2
post-dark,25.931948124999998,0.0016665310688189115,experiment 15 2,Chamber 2
pre-dark,26.90967652777778,0.00010075826089570843,experiment 15 2,Chamber 2
pre-light,26.931564528231103,0.00029070049427804966,experiment 15 2,Chamber 2
exposure-light,26.93389627074701,0.0003391873529062071,experiment 16 2,Chamber 2
post-dark,26.144194953703707,0.001382532691360266,experiment 16 2,Chamber 2
pre-dark,26.938502708333335,0.0001163497783674543,experiment 16 2,Chamber 2
pre-light,26.92570942716631,0.0004114839265265886,experiment 16 2,Chamber 2
exposure-light,27.12004849537037,0.00034965709784830906,experiment 17 2,Chamber 2
post-dark,26.175657986111112,0.0019488425575083612,experiment 17 2,Chamber 2
pre-dark,26.92720375,0.00010480158629129332,experiment 17 2,Chamber 2
pre-light,26.931172168249063,0.0003267899411237225,experiment 17 2,Chamber 2
exposure-light,27.114700067319145,0.00031023248780058077,experiment 18 2,Chamber 2
post-dark,25.915366058613824,0.0022512621440043215,experiment 18 2,Chamber 2
pre-dark,27.125994258993472,0.0001254970321867418,experiment 18 2,Chamber 2
pre-light,27.126626329916242,0.0002867234326922641,experiment 18 2,Chamber 2
