Date,Chamber,Time,Phase,Temp,Salinity,DO ,pH,Light,Notes
19-Jul,1,700,,26.7,33.63,95.3,8.19,225,exp 8! 225
,2,,,27,34.13,88.2,8.22,207,207
,3,,,30.4,33.7,83.4,8.21,228,228
,4,,,30.5,33.96,91.3,8.21,211,211
19-Jul,1,1345,,27.3,34.44,72.3,8.01,274,exp 9! 274
,2,,,27.2,33.7,70.8,7.99,213,213
,3,,,28.2,33.59,72.6,7.94,273,273
,4,,,28.1,33.24,77.5,7.94,242,242
20-Jul,1,1540,,27.1,31.85,88.9,7.84,,
,2,,,27,31.16,86.9,7.84,,
,3,,,29.8,31.05,82.5,7.73,,
,4,,,29.6,30.75,84.8,7.74,,*make a corrected salinity cdurn?
20-Jul,1,1850,,27.1,31.52,89.3,7.88,,
,2,,,27.1,31.25,86,7.88,,
,3,,,29.5,31.14,77.9,7.84,,
,4,,,28.8,30.84,86.9,7.84,,
21-Jul,1,705,,27.1,31.84,91.1,7.9,240,exp 9! 240
,2,,,27.1,31.33,85.7,7.89,247,247
,3,,,30.1,31.7,83.3,7.85,241,241
,4,,,30,31.27,84.3,7.84,245,245
22-Jul,1,1133,,27.6,31.82,93.1,7.76,,exp 10
,2,,,27.3,31.97,84.8,7.77,,
,3,,,28.8,32.3,89.9,7.77,,
,4,,,28.7,29.83,83.7,7.65,,
,2,1139,,27.1,31.4,82.6,7.75,,
,3,1139,,28.6,31.31,87.9,7.73,,
,4,1139,,28.6,30.52,87.2,7.7,,
,1,1358,,27,31.86,89.5,7.87,241,241
,2,,,27,31.46,86.4,7.85,265,265
,3,,,28.8,31.39,84.7,7.4,224,224
,4,,,28.5,31.62,85.1,7.8,273,273
23-Jul,1,700,,27.1,31.47,91.3,7.89,218,218 start exp 10!
,2,,,27,31.65,82.5,7.91,231,231
,3,,,29.4,31.59,83.5,7.91,244,244
,4,,,30.3,31.85,78,7.84,269,269
25-Jul,1,1200,,27.4,31.71,87.5,7.79,,setting up exp 11
,2,,,27.4,31.37,86.9,7.78,,
,3,,,28,31.87,86.8,7.76,,
,4,,,28.8,31.87,90.1,7.72,,
25-Jul,1,1400,,27.1,31.52,91.4,7.79,,exp 11
,2,,,27,31.51,84.5,7.79,,
,3,,,28.9,31.57,87.5,7.76,,
,4,,,28.6,31.21,89.1,7.78,,
26-Jul,1,700,,27.1,31.88,92.5,7.92,275,exp 11 275
,2,,,27,31.92,81.5,7.91,260,31.36 260
,3,,,29.9,31.53,87.5,7.9,257,257
,4,,,29.8,31.68,85.5,7.89,258,30.87 258
27-Jul,1,1328,,27,31.42,91.1,7.84,,setting up exp 12
,2,,,27.3,31.24,81,7.83,,
,3,,,27,31.56,86.6,7.82,,
,4,,,27.2,30.95,88.4,7.82,,
27-Jul,1,1355,,27.1,31.34,90.7,7.88,248,exp 12! 248
,2,,,27.2,31.3,84.7,7.86,273,273
,3,,,28.6,31.59,81.8,7.84,270,270
,4,,,28.5,31.16,87.6,7.83,233,233
27-Jul,1,1847,,27,31.48,92.2,7.97,,
,2,,,27,31.44,84.2,7.94,,
,3,,,28.7,31.76,83.6,7.9,,
,4,,,28.9,31.33,88.8,7.9,,
28-Jul,1,708,,26.9,31.73,90.7,7.96,,exp 12 before sed
,2,,,27,31.77,84.9,7.94,,after: 31.09
,3,,,29.5,31.56,79.8,7.87,,
,4,,,29.9,31.7,88.1,7.89,,31.09
29-Jul,1,1236,,27.5,31.41,94.5,7.77,,setting up exp 13!
,2,,,27.5,31.02,84.1,7.76,,
,3,,,27.8,31.32,86.1,7.77,,
,4,,,27.7,31.04,91.7,7.79,,
29-Jul,1,1713,,27.1,31.62,92.1,7.75,,
,2,,,26.9,31.52,82.5,7.72,,
,3,,,28.7,31.5,82.9,7.73,,
,4,,,29.2,31.33,85.9,7.71,,
30-Jul,1,708,,27.1,31.91,91.3,7.81,,
,2,,,27,31.85,86.1,7.79,,
,3,,,28.5,31.84,81.2,7.77,,
,4,,,28.9,31.67,81.3,7.78,,
30-Jul,1,724,,27.1,31.56,94.6,7.85,,
,2,,,26.8,31.4,82.6,7.82,,
,3,,,29.2,31.49,84.5,7.81,,
,4,,,29.5,31.49,80.6,7.81,,
1-Aug,1,1124,,27.7,31.32,96.1,7.84,,setting up exp 14
,2,,,28.1,31.03,86.8,7.84,,
,3,,,29.1,31.5,84.7,7.82,,
,4,,,29.4,31.28,88.1,7.83,,
1-Aug,1,1326,,27.1,31.34,96,7.96,268,268
,2,,,26.9,31.44,88,7.93,258,258
,3,,,28.9,31.61,81.8,7.9,279,279
,4,,,29,31.51,83.3,7.93,241,241
2-Aug,1,700,,26.8,31.46,93.8,7.96,,
,2,,,26.9,34.87,88.5,7.94,,
,3,,,29.2,31.51,80.8,7.91,,
,4,,,29.8,32.11,81.7,7.95,,
2-Aug,1,732,,26.9,31.46,96.7,7.98,,after sediment
,2,,,26.7,31.44,88.6,7.94,,
,3,,,29.8,31.56,80.8,7.94,,
,4,,,29.5,31.46,86.4,7.95,,
3-Aug,1,1234,,27.6,31.49,90.4,7.94,,setting up exp 15
,2,,,27.5,31.1,87.2,7.93,,
,3,,,25.3,31.14,92.9,7.94,,
,4,,,26.5,31.29,90.1,7.95,,
3-Aug,1,1307,,27.2,31.7,89.4,7.99,266,266
,2,,,27.1,31.32,85.4,7.97,270,270
,3,,,27.6,31.33,92.6,7.96,248,248
,4,,,28.4,31.49,84,7.96,230,230
4-Aug,1,700,,27.1,32.1,87.1,8.01,,start exp 15!
,2,,,26.9,31.72,84.7,7.96,,
