timepoint,mean_temp,se_temp,experiment,chamber
exposure-light,26.863604113110537,0.0011782653781780047,experiment 1 ch3,Chamber 3
post-dark,27.11042946106121,0.00012587306111560342,experiment 1 ch3,Chamber 3
pre-dark,26.44197643191184,0.0007714940851601602,experiment 1 ch3,Chamber 3
pre-light,27.14803115918631,0.001386339649062786,experiment 1 ch3,Chamber 3
exposure-light,27.012632143187922,0.0006967920411101585,experiment 2 3,Chamber 3
post-dark,26.741546828703704,0.0005965124043142296,experiment 2 3,Chamber 3
pre-dark,26.411104909835874,0.0008301073991797596,experiment 2 3,Chamber 3
pre-light,26.357341877515022,0.0031020551327792935,experiment 2 3,Chamber 3
exposure-light,31.37081221787541,0.0013301374720916933,experiment 3 3,Chamber 3
post-dark,26.664484478807378,0.009207798674573758,experiment 3 3,Chamber 3
pre-dark,27.99252797518461,0.002914843493694413,experiment 3 3,Chamber 3
pre-light,28.892976370327325,0.0027458685805053827,experiment 3 3,Chamber 3
exposure-light,31.206912701907257,0.004326041267016253,experiment 4 3,Chamber 3
post-dark,28.847319044360106,0.017479455639931803,experiment 4 3,Chamber 3
pre-dark,28.435033039851717,0.0007021833046520444,experiment 4 3,Chamber 3
pre-light,29.490801473167313,0.0037280138802349865,experiment 4 3,Chamber 3
exposure-light,31.120744744397108,0.002683704796098922,experiment 5 3,Chamber 3
post-dark,29.767031412037035,0.0007892179145824606,experiment 5 3,Chamber 3
pre-dark,29.52338921296296,0.0009476658020648135,experiment 5 3,Chamber 3
pre-light,29.18588601985598,0.003701035441377363,experiment 5 3,Chamber 3
exposure-light,31.213844004629628,0.0036411460444145598,experiment 6 3,Chamber 3
post-dark,29.87005729166667,0.003514247179276614,experiment 6 3,Chamber 3
pre-dark,29.391345162037037,0.0027490721765602282,experiment 6 3,Chamber 3
pre-light,30.803046080615758,0.009396366400422467,experiment 6 3,Chamber 3
exposure-light,31.440185743390284,0.002027957820820321,experiment 7 3,Chamber 3
post-dark,29.916213888888887,0.001963638128757531,experiment 7 3,Chamber 3
pre-dark,29.434513032407406,0.0007800728629955625,experiment 7 3,Chamber 3
pre-light,29.434654502832583,0.0028181225896174804,experiment 7 3,Chamber 3
exposure-light,29.738539711943687,0.01330658767425195,experiment 8 3,Chamber 3
post-dark,29.987202500000002,0.003148488771174081,experiment 8 3,Chamber 3
pre-dark,29.471129907407406,0.005813460024496805,experiment 8 3,Chamber 3
pre-light,29.588460577175667,0.002231384621222305,experiment 8 3,Chamber 3
exposure-light,31.356111921296293,0.002013581983691704,experiment 9 3,Chamber 3
post-dark,30.005622037037035,0.0011904174528259471,experiment 9 3,Chamber 3
pre-dark,30.253522175925927,0.0005299392168802608,experiment 9 3,Chamber 3
pre-light,29.574205989061568,0.0025137935191238063,experiment 9 3,Chamber 3
exposure-light,31.525892199074075,0.0031172552091101335,experiment 10 3,Chamber 3
post-dark,28.951004282407407,0.001750651969664239,experiment 10 3,Chamber 3
pre-dark,29.63946877314815,0.0004483609029381991,experiment 10 3,Chamber 3
pre-light,29.39714273832078,0.0024623400911286367,experiment 10 3,Chamber 3
exposure-light,31.272413168800497,0.0019434261039756582,experiment 11 3,Chamber 3
post-dark,30.947649490740744,0.000744058389676444,experiment 11 3,Chamber 3
pre-dark,28.93221113425926,0.0008607494566356135,experiment 11 3,Chamber 3
pre-light,29.001955453428582,0.0014850574041768824,experiment 11 3,Chamber 3
exposure-light,31.240283333333334,0.002330894534083973,experiment 12 3,Chamber 3
post-dark,30.372504212962962,0.0008721921021699799,experiment 12 3,Chamber 3
pre-dark,29.192203541666665,0.0011564615600679082,experiment 12 3,Chamber 3
pre-light,28.849370320784022,0.0011676921669443805,experiment 12 3,Chamber 3
exposure-light,30.991100256950393,0.003208955614015569,experiment 13 3,Chamber 3
post-dark,29.917349930555556,0.0006629052513472311,experiment 13 3,Chamber 3
pre-dark,28.22754800925926,0.0004550359204433077,experiment 13 3,Chamber 3
pre-light,28.78491774969645,0.0009741741317554173,experiment 13 3,Chamber 3
exposure-light,30.908594134123476,0.002178750412513127,experiment 14 3,Chamber 3
post-dark,28.62316900462963,0.0019237812878028812,experiment 14 3,Chamber 3
pre-dark,29.17761650462963,0.0009064582093800917,experiment 14 3,Chamber 3
pre-light,29.029624289743694,0.0011976445882341314,experiment 14 3,Chamber 3
exposure-light,30.86645340277778,0.0017213440150144884,experiment 15 3,Chamber 3
post-dark,29.636606689814815,0.0007975441110044335,experiment 15 3,Chamber 3
pre-dark,29.25913888888889,0.00046180111010932825,experiment 15 3,Chamber 3
pre-light,28.5382402213676,0.0031045735220320845,experiment 15 3,Chamber 3
exposure-light,30.9573329938193,0.002249882805686793,experiment 16 3,Chamber 3
post-dark,29.90147384259259,0.000959357702071347,experiment 16 3,Chamber 3
pre-dark,28.566108865740738,0.0003419127492489214,experiment 16 3,Chamber 3
pre-light,28.762858716740578,0.0011948248992053878,experiment 16 3,Chamber 3
exposure-light,30.943829050925928,0.002408145136517568,experiment 17 3,Chamber 3
post-dark,29.655957685185186,0.0015337112978132444,experiment 17 3,Chamber 3
pre-dark,28.965405069444447,0.0009112970955754049,experiment 17 3,Chamber 3
pre-light,29.9310528320636,0.001853595688267984,experiment 17 3,Chamber 3
exposure-light,30.97313290860591,0.0016823382198610129,experiment 18 3,Chamber 3
post-dark,29.287448608731886,0.0013559420945668033,experiment 18 3,Chamber 3
pre-dark,29.84775313671929,0.0004080204997907876,experiment 18 3,Chamber 3
pre-light,30.094682620787786,0.002055088064841062,experiment 18 3,Chamber 3
